Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
1901,1,0,0.622,0.378,0.5,0.019607843,0,0,0.52,0.48,0.5,0.394,0.046,0.56,0.638,0.362,0.598,0.402
1902,2,0,0.637,0.363,0.5,0.043977055,0,0,0.56,0.44,0.5,0.421,0.062,0.517,0.662,0.338,0.607,0.393
1903,3,0,0.688,0.312,0.5,0.068901304,0,0,0.45,0.55,0.5,0.426,0.056,0.518,0.602,0.398,0.586,0.414
1904,4,0,0.61,0.39,0.5,0.084249084,0,0,0.51,0.49,0.5,0.428,0.059,0.513,0.664,0.336,0.58,0.42
1905,5,0,0.625,0.375,0.5,0.097472924,0,0,0.59,0.41,0.5,0.427,0.048,0.526,0.605,0.395,0.592,0.408
1906,6,0,0.604,0.396,0.5,0.107142857,0,0,0.57,0.43,0.5,0.426,0.053,0.521,0.681,0.319,0.585,0.415
1907,7,0,0.642,0.358,0.5,0.115044248,0,0,0.47,0.53,0.5,0.436,0.053,0.511,0.66,0.34,0.584,0.416
1908,8,0,0.604,0.396,0.5,0.121265378,0,0,0.53,0.47,0.5,0.433,0.055,0.512,0.67,0.33,0.635,0.365
1909,9,0,0.682,0.318,0.5,0.127399651,0,0,0.43,0.57,0.5,0.442,0.047,0.511,0.676,0.324,0.642,0.358
1910,10,0,0.653,0.347,0.5,0.133448873,0,0,0.46,0.54,0.5,0.425,0.062,0.513,0.698,0.302,0.614,0.386
1911,11,0,0.607,0.393,0.5,0.137931034,0,0,0.6,0.4,0.5,0.433,0.063,0.505,0.654,0.346,0.639,0.361
1912,12,0,0.625,0.375,0.5,0.142367067,0,0,0.49,0.51,0.5,0.426,0.06,0.514,0.601,0.399,0.611,0.389
1913,13,0,0.679,0.321,0.5,0.145299145,0,0,0.44,0.56,0.5,0.385,0.059,0.556,0.663,0.337,0.566,0.434
1914,14,0,0.665,0.335,0.5,0.149659864,0,0,0.46,0.54,0.5,0.383,0.052,0.565,0.696,0.304,0.629,0.371
1915,15,0,0.639,0.361,0.5,0.152542373,0,0,0.46,0.54,0.5,0.419,0.055,0.527,0.652,0.348,0.628,0.372
1916,16,0,0.699,0.301,0.5,0.155405405,0,0,0.54,0.46,0.5,0.35,0.046,0.604,0.611,0.389,0.554,0.446
1917,17,0,0.7,0.3,0.5,0.158249158,0,0,0.53,0.47,0.5,0.417,0.053,0.53,0.629,0.371,0.565,0.435
1918,18,0,0.693,0.307,0.5,0.161073826,0,0,0.44,0.56,0.5,0.379,0.053,0.568,0.682,0.318,0.635,0.365
1919,19,0,0.651,0.349,0.5,0.163879599,0,0,0.59,0.41,0.5,0.406,0.06,0.535,0.666,0.334,0.585,0.415
1920,20,0,0.642,0.358,0.5,0.166666667,0,0,0.44,0.56,0.5,0.383,0.046,0.571,0.619,0.381,0.623,0.377
1921,21,0,0.63,0.37,0.5,0.168053245,0,0,0.59,0.41,0.5,0.366,0.058,0.576,0.658,0.342,0.644,0.356
1922,22,0,0.677,0.323,0.5,0.170812604,0,0,0.41,0.59,0.5,0.412,0.062,0.526,0.679,0.321,0.555,0.445
